id,map,round,seconds,att_side,vic_side,hp_dmg,arm_dmg,wp,wp_type,award
35,de_dust2,2,230.3279,Terrorist,CounterTerrorist,100,5,Deagle,Pistol,300
38678,de_dust2,2,230.4223,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
38679,de_dust2,2,230.5161,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
20488,de_mirage,2,230.5238,CounterTerrorist,Terrorist,32,0,UMP,SMG,600
45717,de_dust2,2,230.5537,CounterTerrorist,Terrorist,25,0,MP7,SMG,600
23505,de_cbble,2,230.5638,Terrorist,CounterTerrorist,15,0,USP,Pistol,300
22126,de_dust2,1,230.6047,Terrorist,CounterTerrorist,4,15,MP7,SMG,600
20489,de_mirage,2,230.6176,CounterTerrorist,Terrorist,6,0,UMP,SMG,600
20490,de_mirage,2,230.6488,Terrorist,CounterTerrorist,14,0,Tec9,Pistol,300
23506,de_cbble,2,230.6576,CounterTerrorist,Terrorist,20,1,FiveSeven,Pistol,300
13760,de_cache,2,230.718,Terrorist,CounterTerrorist,17,4,UMP,SMG,600
37884,de_train,2,230.7477,Terrorist,CounterTerrorist,100,0,UMP,SMG,600
27975,de_dust2,2,230.7894,Terrorist,CounterTerrorist,8,0,Mac10,SMG,600
38680,de_dust2,2,230.7973,Terrorist,CounterTerrorist,28,0,Gallil,Rifle,300
45718,de_dust2,2,230.8038,CounterTerrorist,Terrorist,31,0,MP7,SMG,600
13761,de_cache,2,230.8118,Terrorist,CounterTerrorist,17,4,UMP,SMG,600
38681,de_dust2,2,230.8286,Terrorist,CounterTerrorist,30,0,AK47,Rifle,300
18916,de_cache,2,230.8401,Terrorist,CounterTerrorist,8,0,Incendiary,Grenade,300
13762,de_cache,2,230.843,CounterTerrorist,Terrorist,27,3,CZ,Pistol,100
23507,de_cbble,2,230.8451,Terrorist,CounterTerrorist,27,0,USP,Pistol,300
22127,de_dust2,1,230.855,CounterTerrorist,Terrorist,35,5,FiveSeven,Pistol,300
7687,de_dust2,2,230.8691,Terrorist,CounterTerrorist,10,6,Glock,Pistol,300
27976,de_dust2,2,230.8832,Terrorist,CounterTerrorist,13,0,MP7,SMG,600
23508,de_cbble,2,230.9076,Terrorist,CounterTerrorist,33,4,AK47,Rifle,300
34716,de_inferno,2,230.9367,CounterTerrorist,Terrorist,24,3,P250,Pistol,300
13763,de_cache,2,230.9368,Terrorist,CounterTerrorist,17,4,UMP,SMG,600
22722,de_cache,2,230.9439,Terrorist,CounterTerrorist,14,5,Mac10,SMG,600
13764,de_cache,2,230.9993,Terrorist,CounterTerrorist,15,18,UMP,SMG,600
27977,de_dust2,2,231.0082,CounterTerrorist,Terrorist,14,7,USP,Pistol,300
18917,de_cache,2,231.0277,Terrorist,CounterTerrorist,8,0,Incendiary,Grenade,300
22128,de_dust2,1,231.0427,Terrorist,CounterTerrorist,16,5,MP7,SMG,600
22723,de_cache,2,231.0689,Terrorist,CounterTerrorist,14,5,Mac10,SMG,600
20491,de_mirage,2,231.0866,Terrorist,CounterTerrorist,21,0,Tec9,Pistol,300
45719,de_dust2,2,231.1163,CounterTerrorist,Terrorist,25,0,MP7,SMG,600
22129,de_dust2,1,231.1366,Terrorist,CounterTerrorist,17,5,MP7,SMG,600
11420,de_mirage,1,231.1603,CounterTerrorist,Terrorist,30,0,USP,Pistol,300
22724,de_cache,2,231.1627,Terrorist,CounterTerrorist,14,5,Mac10,SMG,600
45720,de_dust2,2,231.2101,CounterTerrorist,Terrorist,19,0,MP7,SMG,600
20492,de_mirage,2,231.2117,Terrorist,CounterTerrorist,26,1,Tec9,Pistol,300
18918,de_cache,2,231.2153,Terrorist,CounterTerrorist,8,0,Incendiary,Grenade,300
27978,de_dust2,2,231.2583,Terrorist,CounterTerrorist,14,0,Mac10,SMG,600
34717,de_inferno,2,231.2806,CounterTerrorist,Terrorist,75,10,P250,Pistol,300
3575,de_cache,2,231.2851,CounterTerrorist,Terrorist,20,1,FiveSeven,Pistol,300
22130,de_dust2,1,231.3556,Terrorist,CounterTerrorist,17,5,MP7,SMG,600
38682,de_dust2,2,231.36,CounterTerrorist,Terrorist,13,0,P250,Pistol,300
45721,de_dust2,2,231.3663,CounterTerrorist,Terrorist,15,4,MP7,SMG,600
20493,de_mirage,2,231.3681,Terrorist,CounterTerrorist,39,5,Tec9,Pistol,300
7688,de_dust2,2,231.3691,CounterTerrorist,Terrorist,79,3,FiveSeven,Pistol,300
38683,de_dust2,2,231.4225,Terrorist,CounterTerrorist,35,0,Gallil,Rifle,300
38684,de_dust2,2,231.4225,Terrorist,CounterTerrorist,13,0,Mac10,SMG,600
47066,de_overpass,2,231.4269,CounterTerrorist,Terrorist,45,0,Deagle,Pistol,300
18919,de_cache,2,231.4341,Terrorist,CounterTerrorist,8,0,Incendiary,Grenade,300
22131,de_dust2,1,231.4494,Terrorist,CounterTerrorist,17,5,MP7,SMG,600
38685,de_dust2,2,231.4537,Terrorist,CounterTerrorist,7,0,AK47,Rifle,300
38686,de_dust2,2,231.4537,CounterTerrorist,Terrorist,17,8,P2000,Pistol,300
2913,de_dust2,2,231.4666,CounterTerrorist,Terrorist,29,0,UMP,SMG,600
22725,de_cache,2,231.4753,Terrorist,CounterTerrorist,17,6,Mac10,SMG,600
22726,de_cache,2,231.5066,Terrorist,CounterTerrorist,11,6,Mac10,SMG,600
22132,de_dust2,1,231.512,Terrorist,CounterTerrorist,17,5,MP7,SMG,600
22133,de_dust2,1,231.5433,Terrorist,CounterTerrorist,16,6,Mac10,SMG,600
26570,de_mirage,2,231.5567,CounterTerrorist,Terrorist,22,0,FiveSeven,Pistol,300
2914,de_dust2,2,231.5604,CounterTerrorist,Terrorist,56,0,UMP,SMG,600
27979,de_dust2,2,231.6021,CounterTerrorist,Terrorist,14,7,USP,Pistol,300
33905,de_dust2,1,231.6206,CounterTerrorist,Terrorist,10,0,P2000,Pistol,300
18920,de_cache,2,231.6217,Terrorist,CounterTerrorist,8,0,Incendiary,Grenade,300
3576,de_cache,2,231.629,Terrorist,CounterTerrorist,14,3,UMP,SMG,600
8516,de_cbble,2,231.6738,Terrorist,CounterTerrorist,51,19,Mac10,SMG,600
8517,de_cbble,2,231.7363,Terrorist,CounterTerrorist,13,4,Mac10,SMG,600
3577,de_cache,2,231.7541,CounterTerrorist,Terrorist,80,4,FiveSeven,Pistol,300
39293,de_mirage,2,231.7545,Terrorist,CounterTerrorist,27,3,AK47,Rifle,300
45722,de_dust2,2,231.7726,CounterTerrorist,Terrorist,15,4,MP7,SMG,600
27980,de_dust2,2,231.7896,CounterTerrorist,Terrorist,21,0,USP,Pistol,300
34718,de_inferno,2,231.812,CounterTerrorist,Terrorist,21,3,P250,Pistol,300
48777,de_austria,2,231.8279,CounterTerrorist,Terrorist,25,0,UMP,SMG,600
45723,de_dust2,2,231.8351,CounterTerrorist,Terrorist,15,4,MP7,SMG,600
37885,de_train,2,231.9361,Terrorist,Terrorist,4,1,UMP,SMG,600
48778,de_austria,2,231.953,CounterTerrorist,Terrorist,26,0,UMP,SMG,600
27981,de_dust2,2,231.9771,CounterTerrorist,Terrorist,14,7,USP,Pistol,300
38687,de_dust2,2,231.9851,CounterTerrorist,Terrorist,83,0,P2000,Pistol,300
13765,de_cache,2,232.0308,CounterTerrorist,Terrorist,18,0,FiveSeven,Pistol,300
48779,de_austria,2,232.0468,CounterTerrorist,Terrorist,26,0,UMP,SMG,600
27982,de_dust2,2,232.1334,CounterTerrorist,Terrorist,3,1,USP,Pistol,300
43269,de_dust2,2,232.1748,CounterTerrorist,Terrorist,28,3,FiveSeven,Pistol,300
48780,de_austria,2,232.2032,CounterTerrorist,Terrorist,23,0,UMP,SMG,600
18921,de_cache,2,232.2469,Terrorist,CounterTerrorist,57,0,Bizon,SMG,600
23509,de_cbble,2,232.2516,CounterTerrorist,Terrorist,26,1,FiveSeven,Pistol,300
8518,de_cbble,2,232.2676,CounterTerrorist,Terrorist,19,4,P90,SMG,300
45724,de_dust2,2,232.2726,Terrorist,CounterTerrorist,31,0,MP7,SMG,600
34719,de_inferno,2,232.3121,Terrorist,CounterTerrorist,14,3,UMP,SMG,600
27389,de_mirage,2,232.3878,CounterTerrorist,Terrorist,23,0,P90,SMG,300
47067,de_overpass,2,232.4589,CounterTerrorist,Terrorist,26,0,UMP,SMG,600
13766,de_cache,2,232.4997,Terrorist,CounterTerrorist,12,3,MP7,SMG,600
7217,de_dust2,1,232.5296,CounterTerrorist,Terrorist,16,0,FiveSeven,Pistol,300
34720,de_inferno,2,232.5309,Terrorist,CounterTerrorist,86,0,UMP,SMG,600
13767,de_cache,2,232.5935,Terrorist,CounterTerrorist,51,15,MP7,SMG,600
46304,de_dust2,1,232.6015,Terrorist,CounterTerrorist,91,0,USP,Pistol,300
27390,de_mirage,2,232.7003,Terrorist,CounterTerrorist,12,6,Glock,Pistol,300
47068,de_overpass,2,232.7404,CounterTerrorist,Terrorist,21,0,UMP,SMG,600
14498,de_cbble,2,232.7437,CounterTerrorist,Terrorist,21,0,MP9,SMG,600
13768,de_cache,2,232.8123,Terrorist,CounterTerrorist,12,3,MP7,SMG,600
27391,de_mirage,2,232.8253,CounterTerrorist,Terrorist,23,0,P90,SMG,300
43270,de_dust2,2,232.8311,Terrorist,CounterTerrorist,16,3,P90,SMG,300
47069,de_overpass,2,232.8342,CounterTerrorist,Terrorist,53,0,UMP,SMG,600
31522,de_dust2,2,232.8343,CounterTerrorist,Terrorist,56,0,HE,Grenade,300
26571,de_mirage,2,232.838,Terrorist,CounterTerrorist,17,0,Glock,Pistol,300
23510,de_cbble,2,232.8454,CounterTerrorist,Terrorist,15,0,Deagle,Pistol,300
27392,de_mirage,2,232.8566,CounterTerrorist,Terrorist,25,0,P90,SMG,300
15424,de_mirage,2,232.8819,CounterTerrorist,Terrorist,18,0,FiveSeven,Pistol,300
45725,de_dust2,2,232.8977,Terrorist,CounterTerrorist,25,0,MP7,SMG,600
15425,de_mirage,2,232.9132,Terrorist,CounterTerrorist,100,0,AK47,Rifle,300
22727,de_cache,2,232.9135,CounterTerrorist,Terrorist,28,1,FiveSeven,Pistol,300
45726,de_dust2,2,232.9602,Terrorist,CounterTerrorist,24,0,Glock,Pistol,300
43271,de_dust2,2,232.9874,Terrorist,CounterTerrorist,17,3,P90,SMG,300
43272,de_dust2,2,233.0499,CounterTerrorist,Terrorist,19,0,FiveSeven,Pistol,300
43273,de_dust2,2,233.0499,Terrorist,CounterTerrorist,17,3,P90,SMG,300
22728,de_cache,2,233.0698,CounterTerrorist,Terrorist,28,1,FiveSeven,Pistol,300
22729,de_cache,2,233.1323,Terrorist,CounterTerrorist,11,4,MP7,SMG,600
14499,de_cbble,2,233.1813,CounterTerrorist,Terrorist,21,0,MP9,SMG,600
11421,de_mirage,1,233.2231,CounterTerrorist,Terrorist,36,0,USP,Pistol,300
14500,de_cbble,2,233.2438,CounterTerrorist,Terrorist,58,0,MP9,SMG,600
45727,de_dust2,2,233.304,Terrorist,CounterTerrorist,20,0,MP7,SMG,600
43274,de_dust2,2,233.3936,Terrorist,CounterTerrorist,17,3,P90,SMG,300
27393,de_mirage,2,233.4192,Terrorist,CounterTerrorist,58,2,Deagle,Pistol,300
8519,de_cbble,2,233.5489,Terrorist,CounterTerrorist,100,6,Deagle,Pistol,300
43275,de_dust2,2,233.5499,Terrorist,CounterTerrorist,99,0,UMP,SMG,600
38688,de_dust2,2,233.5792,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
12233,de_dust2,2,233.5839,CounterTerrorist,Terrorist,22,3,P250,Pistol,300
12234,de_dust2,2,233.6777,Terrorist,CounterTerrorist,22,0,Mac10,SMG,600
38689,de_dust2,2,233.7042,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
20494,de_mirage,2,233.7133,CounterTerrorist,Terrorist,17,0,UMP,SMG,600
39294,de_mirage,2,233.7236,CounterTerrorist,Terrorist,28,0,USP,Pistol,300
12235,de_dust2,2,233.7402,Terrorist,CounterTerrorist,23,0,Mac10,SMG,600
43966,de_cache,2,233.7532,Terrorist,CounterTerrorist,29,0,P90,SMG,300
43276,de_dust2,2,233.7687,Terrorist,CounterTerrorist,17,3,P90,SMG,300
44847,de_mirage,2,233.7751,Terrorist,CounterTerrorist,2,0,Incendiary,Grenade,300
